current_attendance,present_classes,absent_classes,total_classes,remaining_classes,weekly_subject_classes,minimum_attendance,planned_leave_classes,days_remaining,absence_rate,future_attendance_after_leave,leave_risk
65.8824,56,29,85,48,1,65,17,240,0.341176,54.902,HIGH
23.3333,21,69,90,34,5,75,2,31,0.766667,22.8261,HIGH
94.382,84,5,89,41,5,85,5,42,0.05618,89.3617,MEDIUM
97.8495,91,2,93,49,4,75,1,61,0.021505,96.8085,LOW
64.6154,42,23,65,29,6,75,3,24,0.353846,61.7647,HIGH
63.6364,21,12,33,60,2,75,4,153,0.363636,56.7568,HIGH
87.5,14,2,16,70,6,90,4,59,0.125,70.0,HIGH
55.2632,21,17,38,46,4,90,3,57,0.447368,51.2195,HIGH
90.0,18,2,20,70,3,90,2,120,0.1,81.8182,HIGH
48.4848,16,17,33,67,6,85,3,53,0.515152,44.4444,HIGH
55.1181,70,57,127,32,3,80,5,53,0.448819,53.0303,HIGH
61.7647,21,13,34,51,5,75,2,54,0.382353,58.3333,HIGH
60.0,15,10,25,70,6,70,2,56,0.4,55.5556,HIGH
57.4074,31,23,54,52,5,85,4,55,0.425926,53.4483,HIGH
20.0,12,48,60,67,3,75,0,113,0.8,20.0,HIGH
77.9412,53,15,68,28,5,80,0,25,0.220588,77.9412,HIGH
96.8254,61,2,63,44,2,75,4,108,0.031746,91.0448,LOW
37.3333,28,47,75,30,3,65,2,48,0.626667,36.3636,HIGH
79.7753,71,18,89,39,6,80,6,33,0.202247,74.7368,HIGH
48.8372,21,22,43,68,3,80,2,111,0.511628,46.6667,HIGH
67.6471,46,22,68,47,4,85,2,59,0.323529,65.7143,HIGH
45.4545,5,6,11,69,1,85,1,343,0.545455,41.6667,HIGH
92.3077,12,1,13,65,5,70,7,65,0.076923,60.0,HIGH
96.4286,27,1,28,70,4,85,3,90,0.035714,87.0968,MEDIUM
82.7957,77,16,93,34,2,85,4,83,0.172043,79.3814,HIGH
82.1429,46,10,56,63,2,80,2,156,0.178571,79.3103,HIGH
95.0,19,1,20,66,5,65,2,69,0.05,86.3636,LOW
86.6667,26,4,30,54,1,90,2,272,0.133333,81.25,HIGH
79.1667,19,5,24,70,3,80,3,115,0.208333,70.3704,HIGH
32.1429,27,57,84,31,2,70,1,76,0.678571,31.7647,HIGH
59.1837,29,20,49,61,5,80,19,64,0.408163,42.6471,HIGH
64.5833,31,17,48,67,5,75,6,70,0.354167,57.4074,HIGH
83.7838,31,6,37,52,2,85,4,127,0.162162,75.6098,HIGH
70.5882,60,25,85,34,6,70,18,31,0.294118,58.2524,HIGH
35.5932,21,38,59,58,1,75,2,290,0.644068,34.4262,HIGH
60.0,9,6,15,70,6,85,2,60,0.4,52.9412,HIGH
46.6667,7,8,15,70,4,80,2,87,0.533333,41.1765,HIGH
75.0,81,27,108,19,3,75,6,31,0.25,71.0526,HIGH
61.3636,81,51,132,28,3,75,2,46,0.386364,60.4478,HIGH
96.8254,61,2,63,47,3,80,17,77,0.031746,76.25,HIGH
72.9167,35,13,48,46,2,75,2,116,0.270833,70.0,HIGH
77.9412,106,30,136,25,5,80,5,28,0.220588,75.1773,HIGH
61.1111,44,28,72,47,3,75,4,76,0.388889,57.8947,HIGH
98.75,79,1,80,41,2,75,3,106,0.0125,95.1807,LOW
62.1622,23,14,37,55,5,70,3,52,0.378378,57.5,HIGH
39.5833,19,29,48,57,6,85,0,46,0.604167,39.5833,HIGH
76.9231,10,3,13,70,2,80,2,175,0.230769,66.6667,HIGH
67.9688,87,41,128,15,3,90,4,28,0.320312,65.9091,HIGH
55.3191,26,21,47,55,3,75,6,91,0.446809,49.0566,HIGH
95.6522,22,1,23,65,6,80,0,56,0.043478,95.6522,LOW
94.7368,54,3,57,62,5,70,14,64,0.052632,76.0563,LOW
56.8182,50,38,88,35,4,75,2,42,0.431818,55.5556,HIGH
60.0,9,6,15,70,1,70,1,348,0.4,56.25,HIGH
96.3636,106,4,110,16,6,75,2,13,0.036364,94.6429,LOW
97.4026,75,2,77,28,6,70,1,24,0.025974,96.1538,LOW
69.3182,61,27,88,45,3,75,4,75,0.306818,66.3043,HIGH
97.619,41,1,42,67,4,75,2,83,0.02381,93.1818,LOW
52.1127,37,34,71,33,1,75,4,163,0.478873,49.3333,HIGH
81.8182,72,16,88,28,6,85,7,25,0.181818,75.7895,HIGH
68.8525,42,19,61,29,6,70,7,28,0.311475,61.7647,HIGH
55.5556,15,12,27,68,1,70,2,342,0.444444,51.7241,HIGH
69.0909,38,17,55,65,3,80,2,111,0.309091,66.6667,HIGH
54.5455,6,5,11,70,2,70,1,177,0.454545,50.0,HIGH
67.9245,36,17,53,67,5,75,4,67,0.320755,63.1579,HIGH
74.4681,35,12,47,68,2,75,2,169,0.255319,71.4286,HIGH
96.0,24,1,25,70,4,90,1,85,0.04,92.3077,MEDIUM
73.0769,19,7,26,70,6,75,1,60,0.269231,70.3704,HIGH
94.6667,71,4,75,31,5,85,5,33,0.053333,88.75,MEDIUM
70.3704,19,8,27,70,3,75,1,115,0.296296,67.8571,HIGH
68.3453,95,44,139,20,1,70,15,98,0.316547,61.6883,HIGH
54.5455,48,40,88,29,4,75,5,37,0.454545,51.6129,HIGH
94.7368,36,2,38,47,4,80,1,59,0.052632,92.3077,LOW
59.4203,41,28,69,42,5,80,2,45,0.405797,57.7465,HIGH
93.75,15,1,16,70,4,75,1,89,0.0625,88.2353,LOW
31.8966,37,79,116,15,4,80,1,20,0.681034,31.6239,HIGH
82.9268,34,7,41,53,6,85,1,48,0.170732,80.9524,HIGH
49.4505,45,46,91,30,1,75,0,148,0.505495,49.4505,HIGH
84.0,21,4,25,70,1,85,2,353,0.16,77.7778,HIGH
65.0,26,14,40,48,5,85,20,45,0.35,43.3333,HIGH
67.5676,25,12,37,57,2,80,3,140,0.324324,62.5,HIGH
75.1825,103,34,137,21,6,75,3,18,0.248175,73.5714,HIGH
68.254,43,20,63,37,6,80,4,29,0.31746,64.1791,HIGH
97.8723,46,1,47,59,6,85,4,53,0.021277,90.1961,LOW
55.2632,21,17,38,50,5,75,19,52,0.447368,36.8421,HIGH
95.8333,46,2,48,68,4,70,17,86,0.041667,70.7692,MEDIUM
95.4545,42,2,44,50,5,75,5,49,0.045455,85.7143,LOW
93.75,30,2,32,62,6,75,12,52,0.0625,68.1818,HIGH
75.0,12,4,16,70,5,75,15,73,0.25,38.7097,HIGH
95.0,76,4,80,29,5,90,10,32,0.05,84.4444,HIGH
51.4706,70,66,136,10,5,80,17,13,0.485294,45.7516,HIGH
96.5517,28,1,29,70,4,90,5,89,0.034483,82.3529,HIGH
65.0794,41,22,63,50,4,70,5,65,0.349206,60.2941,HIGH
66.6667,16,8,24,70,2,70,3,176,0.333333,59.2593,HIGH
96.5116,83,3,86,43,5,65,1,46,0.034884,95.4023,LOW
33.3333,10,20,30,51,1,80,6,252,0.666667,27.7778,HIGH
98.6111,71,1,72,41,2,80,1,101,0.013889,97.2603,LOW
41.5385,27,38,65,28,6,75,1,26,0.584615,40.9091,HIGH
74.6269,50,17,67,28,6,75,5,22,0.253731,69.4444,HIGH
75.0,12,4,16,67,5,75,10,65,0.25,46.1538,HIGH
62.1622,69,42,111,22,3,70,4,37,0.378378,60.0,HIGH
72.9167,35,13,48,47,1,75,3,234,0.270833,68.6275,HIGH
64.2857,9,5,14,70,2,80,5,176,0.357143,47.3684,HIGH
62.1212,41,25,66,48,3,75,3,78,0.378788,59.4203,HIGH
98.2143,55,1,56,54,1,75,4,267,0.017857,91.6667,LOW
58.0247,47,34,81,43,3,75,4,75,0.419753,55.2941,HIGH
98.6111,71,1,72,32,5,75,5,33,0.013889,92.2078,LOW
69.0909,38,17,55,56,1,70,11,278,0.309091,57.5758,HIGH
75.1773,106,35,141,28,3,75,5,44,0.248227,72.6027,HIGH
76.6667,23,7,30,60,6,80,0,53,0.233333,76.6667,HIGH
65.7895,25,13,38,56,3,70,11,94,0.342105,51.0204,HIGH
39.1304,18,28,46,47,4,75,1,57,0.608696,38.2979,HIGH
97.0,97,3,100,15,4,80,1,20,0.03,96.0396,LOW
79.1667,19,5,24,64,4,80,0,80,0.208333,79.1667,HIGH
90.0,9,1,10,69,6,75,10,55,0.1,45.0,HIGH
66.6667,40,20,60,59,2,80,6,146,0.333333,60.6061,HIGH
30.5085,36,82,118,29,1,85,7,147,0.694915,28.8,HIGH
74.8031,95,32,127,28,2,75,1,68,0.251969,74.2188,HIGH
43.1579,41,54,95,44,4,80,3,52,0.568421,41.8367,HIGH
50.7812,65,63,128,27,1,70,3,134,0.492188,49.6183,HIGH
96.1538,125,5,130,32,5,80,3,31,0.038462,93.985,LOW
98.3051,58,1,59,54,2,80,1,138,0.016949,96.6667,LOW
58.8235,30,21,51,63,5,80,0,64,0.411765,58.8235,HIGH
97.3684,74,2,76,38,6,75,3,29,0.026316,93.6709,LOW
51.9481,40,37,77,34,5,75,2,36,0.480519,50.6329,HIGH
50.0,25,25,50,51,4,70,3,62,0.5,47.1698,HIGH
40.0,6,9,15,70,4,75,1,89,0.6,37.5,HIGH
96.6667,58,2,60,40,1,85,1,199,0.033333,95.082,LOW
93.8776,46,3,49,62,5,75,3,63,0.061224,88.4615,LOW
96.9925,129,4,133,13,4,75,4,18,0.030075,94.1606,LOW
97.8723,46,1,47,60,3,75,0,99,0.021277,97.8723,LOW
62.5,10,6,16,70,6,75,0,62,0.375,62.5,HIGH
96.7213,59,2,61,39,6,80,0,32,0.032787,96.7213,LOW
71.4286,10,4,14,69,5,75,2,67,0.285714,62.5,HIGH
52.381,11,10,21,70,1,85,2,352,0.47619,47.8261,HIGH
36.0656,22,39,61,32,5,65,2,30,0.639344,34.9206,HIGH
33.3333,44,88,132,13,4,80,3,19,0.666667,32.5926,HIGH
53.8462,7,6,13,70,1,75,1,351,0.461538,50.0,HIGH
97.561,40,1,41,57,3,70,4,96,0.02439,88.8889,LOW
95.0,95,5,100,46,6,65,1,37,0.05,94.0594,LOW
86.3248,101,16,117,28,1,85,15,139,0.136752,76.5152,HIGH
95.2381,40,2,42,56,4,85,5,67,0.047619,85.1064,MEDIUM
61.5385,16,10,26,70,5,75,2,71,0.384615,57.1429,HIGH
90.9091,10,1,11,67,3,90,0,110,0.090909,90.9091,MEDIUM
95.122,39,2,41,58,1,75,3,289,0.04878,88.6364,LOW
65.0,13,7,20,70,2,65,1,178,0.35,61.9048,HIGH
29.5775,21,50,71,32,4,85,2,38,0.704225,28.7671,HIGH
96.6667,29,1,30,70,2,75,1,173,0.033333,93.5484,LOW
72.2222,39,15,54,55,2,75,11,140,0.277778,60.0,HIGH
54.8387,34,28,62,49,4,75,1,63,0.451613,53.9683,HIGH
72.0,72,28,100,37,5,75,3,39,0.28,69.9029,HIGH
78.5714,11,3,14,69,3,85,3,112,0.214286,64.7059,HIGH
98.5075,66,1,67,47,1,75,3,237,0.014925,94.2857,LOW
97.7778,88,2,90,41,2,65,2,106,0.022222,95.6522,LOW
97.3333,73,2,75,48,4,80,3,58,0.026667,93.5897,LOW
90.0,9,1,10,64,4,90,3,81,0.1,69.2308,HIGH
60.0,6,4,10,68,2,70,2,170,0.4,50.0,HIGH
82.2222,111,24,135,25,5,80,3,26,0.177778,80.4348,MEDIUM
95.5556,43,2,45,46,1,75,4,229,0.044444,87.7551,LOW
72.7273,32,12,44,67,1,75,3,332,0.272727,68.0851,HIGH
81.5789,31,7,38,49,1,85,1,244,0.184211,79.4872,HIGH
67.6471,46,22,68,42,5,65,2,45,0.323529,65.7143,MEDIUM
98.5915,140,2,142,19,4,85,0,26,0.014085,98.5915,LOW
20.9302,9,34,43,65,4,70,3,84,0.790698,19.5652,HIGH
65.0685,95,51,146,26,3,80,16,42,0.349315,58.642,HIGH
63.6364,14,8,22,69,3,65,1,116,0.363636,60.8696,HIGH
96.875,62,2,64,47,1,85,3,233,0.03125,92.5373,LOW
77.9221,60,17,77,48,6,80,1,42,0.220779,76.9231,HIGH
64.2857,18,10,28,68,4,65,2,85,0.357143,60.0,HIGH
36.3636,4,7,11,70,3,80,4,116,0.636364,26.6667,HIGH
38.8889,14,22,36,64,6,80,2,54,0.611111,36.8421,HIGH
40.8,51,74,125,30,3,75,1,49,0.592,40.4762,HIGH
97.2222,70,2,72,38,2,85,3,94,0.027778,93.3333,LOW
30.5344,40,91,131,12,2,85,2,33,0.694656,30.0752,HIGH
94.7917,91,5,96,29,4,75,5,39,0.052083,90.099,LOW
98.0392,50,1,51,61,1,65,4,305,0.019608,90.9091,LOW
54.0541,40,34,74,42,4,80,0,51,0.459459,54.0541,HIGH
70.3704,19,8,27,66,3,75,2,107,0.296296,65.5172,HIGH
30.0,3,7,10,67,5,75,2,68,0.7,25.0,HIGH
74.4444,67,23,90,30,6,75,4,23,0.255556,71.2766,HIGH
95.1613,59,3,62,47,3,75,0,76,0.048387,95.1613,LOW
94.2857,33,2,35,50,4,75,5,66,0.057143,82.5,LOW
55.0,22,18,40,53,2,70,3,136,0.45,51.1628,HIGH
69.2308,45,20,65,49,4,70,3,65,0.307692,66.1765,HIGH
96.5517,140,5,145,20,5,65,2,19,0.034483,95.2381,LOW
68.6047,59,27,86,48,4,70,13,61,0.313953,59.596,HIGH
53.125,17,15,32,50,3,65,3,85,0.46875,48.5714,HIGH
28.8462,15,37,52,63,3,90,10,106,0.711538,24.1935,HIGH
77.7778,28,8,36,51,3,80,0,84,0.222222,77.7778,HIGH
73.3333,66,24,90,42,2,75,2,108,0.266667,71.7391,HIGH
99.3289,148,1,149,14,3,75,4,25,0.006711,96.732,LOW
51.6129,16,15,31,62,6,85,0,49,0.483871,51.6129,HIGH
45.2381,19,23,42,57,2,75,3,145,0.547619,42.2222,HIGH
95.9184,47,2,49,66,2,90,1,167,0.040816,94.0,MEDIUM
98.9474,94,1,95,45,6,75,3,40,0.010526,95.9184,LOW
75.5814,65,21,86,40,2,75,3,98,0.244186,73.0337,HIGH
66.6667,12,6,18,70,4,70,5,85,0.333333,52.1739,HIGH
90.9091,10,1,11,70,5,80,2,67,0.090909,76.9231,HIGH
96.2963,78,3,81,30,1,70,4,148,0.037037,91.7647,LOW
94.7368,18,1,19,70,6,75,0,59,0.052632,94.7368,LOW
96.9388,95,3,98,36,3,90,3,57,0.030612,94.0594,MEDIUM
93.3333,42,3,45,48,6,65,3,40,0.066667,87.5,LOW
93.3333,28,2,30,68,4,70,2,83,0.066667,87.5,LOW
75.7812,97,31,128,32,5,75,4,34,0.242188,73.4848,HIGH
46.1538,6,7,13,68,6,65,1,60,0.538462,42.8571,HIGH
96.875,31,1,32,48,4,80,2,58,0.03125,91.1765,LOW
91.6667,22,2,24,64,3,85,16,104,0.083333,55.0,HIGH
69.2308,9,4,13,69,1,75,4,344,0.307692,52.9412,HIGH
38.8889,7,11,18,70,4,75,2,86,0.611111,35.0,HIGH
41.6667,10,14,24,70,4,75,3,91,0.583333,37.037,HIGH
92.3077,12,1,13,70,4,75,1,86,0.076923,85.7143,LOW
91.6667,11,1,12,70,5,85,4,68,0.083333,68.75,HIGH
95.082,58,3,61,46,1,65,1,228,0.04918,93.5484,LOW
79.4521,58,15,73,37,1,80,0,185,0.205479,79.4521,HIGH
95.5556,43,2,45,64,4,80,3,80,0.044444,89.5833,LOW
71.4286,30,12,42,66,2,75,3,167,0.285714,66.6667,HIGH
62.5,20,12,32,59,5,80,3,56,0.375,57.1429,HIGH
28.9062,37,91,128,25,2,65,1,62,0.710938,28.6822,HIGH
96.5986,142,5,147,23,1,75,1,113,0.034014,95.9459,LOW
21.4286,3,11,14,70,5,85,7,73,0.785714,14.2857,HIGH
60.0,9,6,15,70,6,85,15,58,0.4,30.0,HIGH
96.7742,30,1,31,55,5,90,2,55,0.032258,90.9091,MEDIUM
97.6744,42,1,43,60,4,80,2,73,0.023256,93.3333,LOW
63.6364,42,24,66,47,5,70,1,48,0.363636,62.6866,HIGH
88.4615,46,6,52,66,6,90,2,58,0.115385,85.1852,HIGH
68.1818,15,7,22,70,4,75,2,86,0.318182,62.5,HIGH
86.6667,39,6,45,47,5,90,0,48,0.133333,86.6667,HIGH
53.125,17,15,32,49,6,80,3,41,0.46875,48.5714,HIGH
76.4706,13,4,17,70,3,80,1,115,0.235294,72.2222,HIGH
45.122,37,45,82,38,1,75,5,187,0.54878,42.5287,HIGH
52.1739,12,11,23,70,1,75,5,350,0.478261,42.8571,HIGH
95.9732,143,6,149,28,4,65,3,36,0.040268,94.0789,LOW
78.5714,11,3,14,70,1,80,1,352,0.214286,73.3333,HIGH
97.2414,141,4,145,17,6,75,6,14,0.027586,93.3775,LOW
98.4,123,2,125,17,1,65,1,84,0.016,97.619,LOW
95.9016,117,5,122,11,3,65,0,17,0.040984,95.9016,LOW
96.9697,96,3,99,30,5,75,3,30,0.030303,94.1176,LOW
88.7324,63,8,71,31,5,90,19,30,0.112676,70.0,HIGH
97.8261,90,2,92,32,2,65,15,81,0.021739,84.1121,LOW
97.561,80,2,82,46,5,75,19,48,0.02439,79.2079,MEDIUM
94.1176,16,1,17,68,5,80,4,66,0.058824,76.1905,HIGH
64.8649,24,13,37,68,4,75,2,85,0.351351,61.5385,HIGH
98.2759,57,1,58,57,2,75,2,144,0.017241,95.0,LOW
97.1223,135,4,139,19,3,75,0,32,0.028777,97.1223,LOW
19.2982,11,46,57,67,4,65,5,85,0.807018,17.7419,HIGH
98.1132,52,1,53,51,2,65,1,128,0.018868,96.2963,LOW
94.3662,67,4,71,31,4,80,3,39,0.056338,90.5405,LOW
29.8246,17,40,57,52,3,80,2,88,0.701754,28.8136,HIGH
96.5517,28,1,29,70,4,75,2,89,0.034483,90.3226,LOW
88.8889,48,6,54,65,3,90,4,108,0.111111,82.7586,HIGH
95.5556,43,2,45,52,5,65,0,53,0.044444,95.5556,LOW
95.6522,44,2,46,66,5,80,2,65,0.043478,91.6667,LOW
96.5517,56,2,58,54,4,75,2,66,0.034483,93.3333,LOW
55.0,22,18,40,50,4,75,4,61,0.45,50.0,HIGH
72.3404,34,13,47,56,5,75,3,59,0.276596,68.0,HIGH
62.069,36,22,58,52,2,65,3,129,0.37931,59.0164,HIGH
49.2063,31,32,63,29,3,85,5,51,0.507937,45.5882,HIGH
55.3191,26,21,47,46,1,80,0,230,0.446809,55.3191,HIGH
67.2897,72,35,107,11,3,65,0,20,0.327103,67.2897,MEDIUM
62.9371,90,53,143,13,4,80,3,17,0.370629,61.6438,HIGH
97.7778,44,1,45,62,5,75,2,63,0.022222,93.617,LOW
70.2128,33,14,47,47,3,70,2,82,0.297872,67.3469,HIGH
63.3333,19,11,30,65,5,70,1,67,0.366667,61.2903,HIGH
98.0198,99,2,101,25,3,70,3,44,0.019802,95.1923,LOW
96.7033,88,3,91,30,1,70,0,151,0.032967,96.7033,LOW
98.9899,98,1,99,45,5,75,16,45,0.010101,85.2174,LOW
97.4359,38,1,39,62,6,85,3,51,0.025641,90.4762,LOW
75.0,63,21,84,47,5,75,2,48,0.25,73.2558,HIGH
96.6667,29,1,30,48,4,75,4,62,0.033333,85.2941,LOW
51.5625,33,31,64,47,6,80,5,37,0.484375,47.8261,HIGH
82.6087,19,4,23,70,3,85,3,117,0.173913,73.0769,HIGH
82.6087,57,12,69,46,4,80,4,61,0.173913,78.0822,HIGH
97.6923,127,3,130,27,6,75,2,20,0.023077,96.2121,LOW
60.0,15,10,25,68,3,70,6,115,0.4,48.3871,HIGH
98.4615,64,1,65,36,2,70,3,93,0.015385,94.1176,LOW
95.8333,23,1,24,70,5,80,2,73,0.041667,88.4615,LOW
95.5224,64,3,67,30,1,85,5,150,0.044776,88.8889,MEDIUM
94.7368,18,1,19,70,4,85,4,87,0.052632,78.2609,HIGH
77.3723,106,31,137,24,2,75,4,59,0.226277,75.1773,MEDIUM
52.6316,10,9,19,70,1,70,6,351,0.473684,40.0,HIGH
99.0654,106,1,107,14,1,85,1,71,0.009346,98.1481,LOW
63.3333,57,33,90,36,1,75,4,181,0.366667,60.6383,HIGH
75.0,45,15,60,46,6,75,1,40,0.25,73.7705,HIGH
66.0,66,34,100,33,6,70,4,27,0.34,63.4615,HIGH
97.0,97,3,100,44,2,80,4,113,0.03,93.2692,LOW
65.2778,94,50,144,15,5,75,4,14,0.347222,63.5135,HIGH
94.7368,36,2,38,64,3,80,18,106,0.052632,64.2857,HIGH
96.7213,59,2,61,46,4,80,3,55,0.032787,92.1875,LOW
96.4286,27,1,28,70,6,70,4,57,0.035714,84.375,LOW
61.3636,54,34,88,38,4,75,2,45,0.386364,60.0,HIGH
72.2222,13,5,18,70,1,75,5,351,0.277778,56.5217,HIGH
75.3623,52,17,69,33,6,75,2,26,0.246377,73.2394,HIGH
79.798,79,20,99,47,5,80,2,48,0.20202,78.2178,HIGH
61.9048,26,16,42,65,2,65,2,166,0.380952,59.0909,HIGH
55.814,24,19,43,50,5,80,2,49,0.44186,53.3333,HIGH
85.8696,79,13,92,30,2,85,3,73,0.141304,83.1579,HIGH
95.5556,86,4,90,41,3,80,1,68,0.044444,94.5055,LOW
59.5238,25,17,42,50,4,75,8,65,0.404762,50.0,HIGH
45.4545,45,54,99,39,6,80,2,32,0.545455,44.5545,HIGH
95.122,117,6,123,16,5,75,1,15,0.04878,94.3548,LOW
60.0,9,6,15,70,5,65,2,68,0.4,52.9412,HIGH
92.8571,13,1,14,70,1,70,4,351,0.071429,72.2222,MEDIUM
40.0,4,6,10,70,4,80,1,89,0.6,36.3636,HIGH
96.8254,61,2,63,48,1,75,2,239,0.031746,93.8462,LOW
86.0465,37,6,43,53,5,85,12,52,0.139535,67.2727,HIGH
79.0,79,21,100,42,3,80,1,70,0.21,78.2178,HIGH
68.1319,62,29,91,40,5,70,4,38,0.318681,65.2632,HIGH
20.0,7,28,35,48,5,85,0,45,0.8,20.0,HIGH
95.3125,122,6,128,29,6,90,3,22,0.046875,93.1298,MEDIUM
94.7368,72,4,76,33,2,80,2,81,0.052632,92.3077,LOW
58.1818,32,23,55,48,2,80,2,123,0.418182,56.1404,HIGH
97.2973,36,1,37,61,2,70,4,155,0.027027,87.8049,LOW
97.3684,37,1,38,51,5,70,3,50,0.026316,90.2439,LOW
75.0,18,6,24,70,5,75,2,71,0.25,69.2308,HIGH
36.3636,4,7,11,65,6,75,5,58,0.636364,25.0,HIGH
50.8772,58,56,114,18,4,75,4,20,0.491228,49.1525,HIGH
50.0,18,18,36,67,5,70,5,66,0.5,43.9024,HIGH
95.3488,41,2,43,65,5,75,3,66,0.046512,89.1304,LOW
68.1159,47,22,69,32,6,75,10,25,0.318841,59.4937,HIGH
47.8723,45,49,94,32,5,85,2,33,0.521277,46.875,HIGH
68.3761,80,37,117,10,4,85,3,16,0.316239,66.6667,HIGH
86.4865,64,10,74,42,3,85,1,73,0.135135,85.3333,MEDIUM
61.5385,24,15,39,59,2,75,3,145,0.384615,57.1429,HIGH
72.093,31,12,43,57,5,75,2,56,0.27907,68.8889,HIGH
71.1712,79,32,111,28,6,70,5,26,0.288288,68.1034,HIGH
98.8889,89,1,90,33,6,70,2,30,0.011111,96.7391,LOW
75.4717,80,26,106,23,2,75,1,55,0.245283,74.7664,HIGH
54.5455,6,5,11,68,2,75,2,168,0.454545,46.1538,HIGH
72.2222,91,35,126,12,1,75,4,58,0.277778,70.0,HIGH
56.962,45,34,79,36,2,70,2,87,0.43038,55.5556,HIGH
